PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/keep.03__0	keep.03	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.keep_55060000	Agent	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
https://w3id.org/framester/pb/pbdata/keep.03__1	keep.03	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.keep_55060000	Theme	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
https://w3id.org/framester/pb/pbdata/keep.04__0	keep.04	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.keep_15020000	Agent	Keep_15020000	https://w3id.org/framester/vn/vn31/data/Keep_15020000
https://w3id.org/framester/pb/pbdata/keep.04__1	keep.04	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.keep_15020000	Theme	Keep_15020000	https://w3id.org/framester/vn/vn31/data/Keep_15020000
https://w3id.org/framester/pb/pbdata/kennel.01__0	kennel.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kennel_90100000	Agent	Kennel_90100000	https://w3id.org/framester/vn/vn31/data/Kennel_90100000
https://w3id.org/framester/pb/pbdata/kennel.01__1	kennel.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.kennel_90100000	Theme	Kennel_90100000	https://w3id.org/framester/vn/vn31/data/Kennel_90100000
https://w3id.org/framester/pb/pbdata/kennel.01__2	kennel.01	ARG2	https://w3id.org/framester/vn/vn31/data/Destination.kennel_90100000	Destination	Kennel_90100000	https://w3id.org/framester/vn/vn31/data/Kennel_90100000
https://w3id.org/framester/pb/pbdata/key.01__0	key.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.open_40030200	Agent	Open_40030200	https://w3id.org/framester/vn/vn31/data/Open_40030200
https://w3id.org/framester/pb/pbdata/kick.01__0	kick.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kick_18020000	Agent	Kick_18020000	https://w3id.org/framester/vn/vn31/data/Kick_18020000
https://w3id.org/framester/pb/pbdata/kick.01__0	kick.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kick_23020000	Agent	Kick_23020000	https://w3id.org/framester/vn/vn31/data/Kick_23020000
