pbrole	pbrolelabel	pbrolesup	varole
pbdata:subdivide-01__3	pblocalrole:specific_aspect_of_arg1_being_used_as_criteria_for_subdivision	pbschema:ARG-VSP	
pbdata:subdivide-01__4	pblocalrole:divided_into_what	pbschema:ARG4	
pbdata:subdivide-01__4	pblocalrole:divided_into_what	pbschema:ARG-PRD	
pbdata:subduct-01__0	pblocalrole:pusher	pbschema:ARG0	
pbdata:subduct-01__1	pblocalrole:pushed	pbschema:ARG1	
pbdata:subduct-01__2	pblocalrole:underneath_what	pbschema:ARG2	
pbdata:subdue-01__0	pblocalrole:defeater	pbschema:ARG0	va:Agent
pbdata:subdue-01__0	pblocalrole:defeater	pbschema:ARG-PAG	va:Agent
pbdata:subdue-01__1	pblocalrole:entity_subdued	pbschema:ARG1	va:Patient
pbdata:subdue-01__1	pblocalrole:entity_subdued	pbschema:ARG-PPT	va:Patient
pbdata:subjacent-01__1	pblocalrole:thing_lying_below	pbschema:ARG1	
pbdata:subjacent-01__1	pblocalrole:thing_lying_below	pbschema:ARG-PAG	
pbdata:subjacent-01__2	pblocalrole:below_what	pbschema:ARG2	
pbdata:subjacent-01__2	pblocalrole:below_what	pbschema:ARG-PPT	
pbdata:subject-01__0	pblocalrole:causer	pbschema:ARG0	va:Agent
pbdata:subject-01__0	pblocalrole:causer	pbschema:ARG-PAG	va:Agent
pbdata:subject-01__1	pblocalrole:induced_experiencer	pbschema:ARG1	va:Patient
pbdata:subject-01__1	pblocalrole:induced_experiencer	pbschema:ARG-PPT	va:Patient
pbdata:subject-01__2	pblocalrole:procedure	pbschema:ARG2	va:Result
pbdata:subject-01__2	pblocalrole:procedure	pbschema:ARG-PPT	va:Result
pbdata:subject-02__1	pblocalrole:likely_undergoer	pbschema:ARG1	
pbdata:subject-02__1	pblocalrole:likely_undergoer	pbschema:ARG-PPT	
pbdata:subject-02__2	pblocalrole:thing_often_undergone	pbschema:ARG2	
pbdata:subject-02__2	pblocalrole:thing_often_undergone	pbschema:ARG-PPT	
pbdata:subjective-03__1	pblocalrole:subjective_entity	pbschema:ARG1	
pbdata:subjective-03__1	pblocalrole:subjective_entity	pbschema:ARG-PPT	
pbdata:subjective-03__2	pblocalrole:perceiver	pbschema:ARG2	
pbdata:subjective-03__2	pblocalrole:perceiver	pbschema:ARG-PAG	
pbdata:subjugate-01__0	pblocalrole:subjugator	pbschema:ARG0	
pbdata:subjugate-01__0	pblocalrole:subjugator	pbschema:ARG-PAG	
pbdata:subjugate-01__1	pblocalrole:subjugated	pbschema:ARG1	
pbdata:subjugate-01__1	pblocalrole:subjugated	pbschema:ARG-PPT	
pbdata:subjugate-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:subjugate-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
pbdata:sublet-01__0	pblocalrole:original_renter	pbschema:ARG0	va:Agent
pbdata:sublet-01__0	pblocalrole:original_renter	pbschema:ARG-PAG	va:Agent
pbdata:sublet-01__1	pblocalrole:property	pbschema:ARG1	va:Theme
pbdata:sublet-01__1	pblocalrole:property	pbschema:ARG-PPT	va:Theme
pbdata:sublet-01__2	pblocalrole:new_renter	pbschema:ARG2	va:Recipient
pbdata:sublet-01__2	pblocalrole:new_renter	pbschema:ARG-GOL	va:Recipient
pbdata:sublimate-01__0	pblocalrole:agent	pbschema:ARG0	va:Agent
pbdata:sublimate-01__0	pblocalrole:agent	pbschema:ARG-PAG	va:Agent
pbdata:sublimate-01__1	pblocalrole:entity_undergoing_change	pbschema:ARG1	va:Patient
pbdata:sublimate-01__1	pblocalrole:entity_undergoing_change	pbschema:ARG-PPT	va:Patient
pbdata:sublimate-01__2	pblocalrole:instrument	pbschema:ARG2	va:Instrument
pbdata:sublimate-01__2	pblocalrole:instrument	pbschema:ARG-MNR	va:Instrument
pbdata:sublimate-01__3	pblocalrole:starting_state_of_arg_1	pbschema:ARG3	va:Material
pbdata:sublimate-01__3	pblocalrole:starting_state_of_arg_1	pbschema:ARG-VSP	va:Material
pbdata:sublimate-01__4	pblocalrole:final_state_of_arg_1	pbschema:ARG4	va:Result
pbdata:sublimate-01__4	pblocalrole:final_state_of_arg_1	pbschema:ARG-PRD	va:Result
pbdata:sublimation-02__0	pblocalrole:cause	pbschema:ARG0	
pbdata:sublimation-02__0	pblocalrole:cause	pbschema:ARG-PAG	
pbdata:sublimation-02__1	pblocalrole:substance_transitioning	pbschema:ARG1	
pbdata:sublimation-02__1	pblocalrole:substance_transitioning	pbschema:ARG-PPT	
pbdata:sublimation-02__2	pblocalrole:start_state	pbschema:ARG2	
pbdata:sublimation-02__2	pblocalrole:start_state	pbschema:ARG-DIR	
pbdata:sublimation-02__3	pblocalrole:end_state	pbschema:ARG3	
pbdata:sublimation-02__3	pblocalrole:end_state	pbschema:ARG-GOL	
pbdata:sublux-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:sublux-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:sublux-01__1	pblocalrole:thing_dislocated	pbschema:ARG1	
pbdata:sublux-01__1	pblocalrole:thing_dislocated	pbschema:ARG-PPT	
