pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:excruciate-01	torture	pblr:excruciate-01.entity-tormented		
pbrs:excruciate-01	torture	pblr:excruciate-01.torturer		
pbrs:excuse-01	relieve of guilt	pblr:excuse-01.excuser		va:0426f
pbrs:excuse-01	relieve of guilt	pblr:excuse-01.crime		va:0426f
pbrs:excuse-01	relieve of guilt	pblr:excuse-01.excused		va:0426f
pbrs:excuse-02	explanation offered to obtain foregiveness, justify	pblr:excuse-02.listener		
pbrs:excuse-02	explanation offered to obtain foregiveness, justify	pblr:excuse-02.mention-of-excuse-itself		
pbrs:excuse-02	explanation offered to obtain foregiveness, justify	pblr:excuse-02.person-offering-excuse		
pbrs:excuse-02	explanation offered to obtain foregiveness, justify	pblr:excuse-02.excuse-for-what		
pbrs:execrate-01	to detest utterly	pblr:execrate-01.thing-hated		
pbrs:execrate-01	to detest utterly	pblr:execrate-01.hater		
pbrs:execute-01	kill	pblr:execute-01.instrument		va:0062f
pbrs:execute-01	kill	pblr:execute-01.killer		va:0062f
pbrs:execute-01	kill	pblr:execute-01.corpse		va:0062f
pbrs:execute-02	enact	pblr:execute-02.agent		va:0147f
pbrs:execute-02	enact	pblr:execute-02.thing-done		va:0147f
pbrs:execute-02	enact	pblr:execute-02.instrumental		va:0147f
pbrs:execute-02	enact	pblr:execute-02.benefactive		va:0147f
pbrs:exemplify-01	serve as an example of	pblr:exemplify-01.of-what		va:0341f
pbrs:exemplify-01	serve as an example of	pblr:exemplify-01.example		va:0341f
pbrs:exempt-01	to free from an obligation	pblr:exempt-01.entity-exempted		va:0600f
pbrs:exempt-01	to free from an obligation	pblr:exempt-01.entity-exempted-from		va:0600f
pbrs:exempt-01	to free from an obligation	pblr:exempt-01.releaser		va:0600f
pbrs:exenterate-01	surgically removing contents of a body cavity	pblr:exenterate-01.instrument		
pbrs:exenterate-01	surgically removing contents of a body cavity	pblr:exenterate-01.entity-removed-from		
pbrs:exenterate-01	surgically removing contents of a body cavity	pblr:exenterate-01.agent		
pbrs:exenterate-01	surgically removing contents of a body cavity	pblr:exenterate-01.thing-removed		
pbrs:exercise-01	use	pblr:exercise-01.thing-used		va:0147f
pbrs:exercise-01	use	pblr:exercise-01.user		va:0147f
pbrs:exercise-02	athletics,	pblr:exercise-02.athlete		va:0337f
pbrs:exercise-02	athletics,	pblr:exercise-02.thing-being-exercised		va:0337f
pbrs:exert-01	to put forth, exercise	pblr:exert-01.exerciser		va:0438f
pbrs:exert-01	to put forth, exercise	pblr:exert-01.entity-exerted		va:0438f
pbrs:exert-01	to put forth, exercise	pblr:exert-01.exerted-over		va:0438f
pbrs:exfoliate-01	remove a layer (as of skin)	pblr:exfoliate-01.agent		
pbrs:exfoliate-01	remove a layer (as of skin)	pblr:exfoliate-01.patient		
pbrs:exfoliate-01	remove a layer (as of skin)	pblr:exfoliate-01.the-removed-layer		
pbrs:exfoliate-01	remove a layer (as of skin)	pblr:exfoliate-01.instrument		
pbrs:exhale-01	to emit air or vapor	pblr:exhale-01.air-or-vapor-exhaled		va:0059f
pbrs:exhale-01	to emit air or vapor	pblr:exhale-01.emitter		va:0059f
pbrs:exhaust-01	cause to become used up, tired	pblr:exhaust-01.entity-exhausted		va:0044f
pbrs:exhaust-01	cause to become used up, tired	pblr:exhaust-01.agent-of-depletion		va:0044f
pbrs:exhibit-01	cause to see	pblr:exhibit-01.thing-seen		va:0162f
pbrs:exhibit-01	cause to see	pblr:exhibit-01.seer		va:0162f
pbrs:exhibit-01	cause to see	pblr:exhibit-01.exhibiter		va:0162f
pbrs:exhilarate-01	make happily refreshed; energetic	pblr:exhilarate-01.patient		va:0582f
pbrs:exhilarate-01	make happily refreshed; energetic	pblr:exhilarate-01.agent		va:0582f
pbrs:exhilarate-01	make happily refreshed; energetic	pblr:exhilarate-01.instrumental		va:0582f
pbrs:exhort-01	urge	pblr:exhort-01.impelled-action		va:0050f
pbrs:exhort-01	urge	pblr:exhort-01.urger		va:0050f
pbrs:exhort-01	urge	pblr:exhort-01.impelled-agent		va:0050f
pbrs:exhume-01	remove something (body) previously burried	pblr:exhume-01.entity-exhumed		va:0166f
pbrs:exhume-01	remove something (body) previously burried	pblr:exhume-01.digger		va:0166f
pbrs:exile-01	banish, send away	pblr:exile-01.exile		va:0581f
pbrs:exile-01	banish, send away	pblr:exile-01.exiled-from		va:0581f
pbrs:exile-01	banish, send away	pblr:exile-01.sender-away		va:0581f
pbrs:exist-01	be, exists ('non-existent' has its own frame, fyi)	pblr:exist-01.thing-existing		va:0526f
